session_id,car_id,lap,sector,speed_kph,throttle,brake,steering_angle,tire_temp_fl,tire_temp_fr,tire_temp_rl,tire_temp_rr,brake_temp,slip_angle,lateral_g,ers_soc,ers_deployment_kw,fuel_kg,track_temp_c,air_temp_c,humidity,compound,lap_time_s,timestamp_ms
replay-holdout-001,car-16,1,1,225.86784998104963,0.7521306083453141,0.6378362242682871,-1.755884698290012,89.25788875813687,86.85765886995193,87.65130478492915,83.6475524496661,750.3533251884974,4.292568485200899,2.76561355016987,0.8055676324841925,59.148551273711234,70.0,36.34741078928192,27.431827098576164,0.43398179697240413,medium,90.08,13000
replay-holdout-001,car-16,1,2,225.33070816484062,0.787538509122498,0.6854691622093653,-9.295861743620268,87.61983224073413,86.65237891148875,87.21534065275128,86.99911815432014,797.2204400762619,4.188393581798411,3.083046748926168,0.790771989859222,59.69346393745579,70.0,36.34741078928192,26.831428692129936,0.43551340004424827,medium,90.08,16000
replay-holdout-001,car-16,1,3,235.56421626111864,0.8137708925729615,0.7976747251472935,-5.099959551069823,88.15765863369664,86.53941851474974,86.95306480999577,83.97730700631924,834.9577705052315,4.314426578787916,2.791414805099206,0.7850010255698952,46.15644643399037,70.0,36.34741078928192,26.255331652543404,0.41170103366173255,medium,90.29248959478781,19000
replay-holdout-001,car-16,2,1,236.93806864138097,0.8989752189636906,0.6065242193080478,-7.240209857426989,88.27213671049587,91.06561866814424,87.17106751575915,87.6329487935609,726.9013089485159,4.20902120651481,2.6616408661721174,0.7663988795205947,65.40321907395075,68.2,36.32182097324147,26.25118869037241,0.43149184900598775,medium,90.16,23000
replay-holdout-001,car-16,2,2,245.22898048456648,0.873619703139071,0.7613757475640076,19.824258300161684,91.10766219184792,91.02254885186392,84.76295716991322,85.45553986057838,834.4901485671497,4.953768971822066,2.923302985402659,0.7561635931247478,52.85292959377041,68.2,36.32182097324147,27.62791906055612,0.44357715097823996,medium,90.16,26000
replay-holdout-001,car-16,2,3,230.50226413459126,0.6968881789959567,0.8723315560444727,-19.026656681902313,90.19078076796804,90.89412431019466,86.19996992339321,85.23556351239735,846.9295374422628,5.427960349365342,2.9578169697092784,0.7363453265368622,67.22739988182839,68.2,36.32182097324147,26.345006433488315,0.5024711386746565,medium,90.21749819529172,29000
replay-holdout-001,car-16,3,1,243.13238691604693,0.9018936796785237,0.646965019464802,21.25728347288724,87.7617617298985,90.86643447407351,88.98479486747509,87.4953048145272,776.4788612410699,2.937623466048475,2.9862110688752095,0.7238153272472787,56.29499893437536,66.4,36.53065144225921,26.58163689125596,0.42278956306391,medium,90.24,33000
replay-holdout-001,car-16,3,2,254.4789712231611,0.7520378558068431,0.7156652953574335,2.7740760711357777,91.39412284936964,92.47049619696871,87.003679303567,85.77135595156781,782.333353549223,3.8023919136566793,2.6910203497465757,0.7101323156337681,58.02451742026595,66.4,36.53065144225921,26.437001832305494,0.4044534115307217,medium,90.24,36000
replay-holdout-001,car-16,3,3,244.06807663180967,0.8518107868418852,0.7847997190015601,-6.89405646898506,90.1228396415308,91.61538584650204,88.05010774786341,86.43868708849514,828.8223913978294,3.450536353855253,2.791843162315894,0.6938241458473465,61.962254679632366,66.4,36.53065144225921,27.28144519688037,0.47817296259602593,medium,90.09502682444271,39000
replay-holdout-001,car-16,4,1,246.59727224077517,0.7896903596790839,0.5375029918567574,-24.349503045576903,91.8363779007841,89.84798477663286,89.05495979902777,90.75721360372737,746.0190781539369,1.8931206892110564,2.8487267379206873,0.6669390419847491,77.82765579389623,64.60000000000001,37.16430079228084,27.773697109442406,0.5006516163110328,medium,90.32,43000
replay-holdout-001,car-16,4,2,241.65814082455915,0.7158623405683714,0.6193193531194234,-4.672967026986928,92.51509576012161,93.06781852825355,86.08728089017849,89.73992346934818,747.4932977877094,3.50295393237604,2.9179709085459415,0.6542195663057437,56.5792135185081,64.60000000000001,37.16430079228084,27.305931271149145,0.5072020434957841,medium,90.32,46000
replay-holdout-001,car-16,4,3,245.54511141037344,0.7842868646022985,0.8576910954114307,-8.533706471324875,90.4729456348765,90.33959009001914,87.23093128032916,90.62888634359027,830.2654424171509,4.614799109945181,2.755598556697912,0.6462040655453205,49.523251140634876,64.60000000000001,37.16430079228084,26.507661469593575,0.40896658763767585,medium,90.18597580394133,49000
